seq,name/first,name/last,age,zip,dollar
1,Kyle,Strickland,27,14645,$9843.18
2,Lillian,Blake,41,23275,$4090.89
3,Lucy,Cummings,36,60427,$1875.91
4,Dora,Warren,39,23917,$2479.22
5,Bill,Casey,32,68587,$4349.74
6,Nora,Henry,23,08451,$6416.42
7,Viola,Casey,43,61383,$7038.37
8,Keith,Pratt,25,61946,$3170.47
9,Caleb,Adams,41,98821,$3085.59
10,Luis,Moran,33,08591,$7778.33
11,Ellen,Goodwin,51,39557,$9249.53
12,Lilly,Willis,48,19009,$8088.31
13,Eunice,Lyons,40,80602,$3104.97
14,Clifford,Palmer,43,23800,$9480.40
15,Clayton,Hodges,31,57047,$9132.89
16,Travis,Moreno,18,69456,$4370.42
17,Pearl,Davidson,29,67956,$7313.56
18,Bill,Black,59,55015,$5882.57
19,Abbie,Townsend,22,08424,$9759.76
20,Eric,Estrada,31,92965,$304.54
21,Chris,Moore,47,77399,$4460.20
22,Augusta,Delgado,64,20383,$1527.17
23,Louis,Pope,35,48778,$899.76
24,Eliza,Bishop,21,55606,$761.71
25,Lucille,Guerrero,64,44008,$683.64
26,Marian,Schmidt,38,30953,$6766.61
27,Sean,Strickland,63,95416,$59.89
28,Jessie,Cooper,18,19901,$5480.37
29,Lloyd,Becker,53,69247,$9143.03
30,Jerry,Schmidt,47,02844,$4738.58
31,Rebecca,Conner,53,59872,$9731.90
32,Jackson,Strickland,54,64501,$7181.50
33,William,Edwards,61,08281,$4992.78
34,Rose,Castillo,35,59305,$1180.36
35,Carl,Burton,30,48156,$6476.09
36,Clifford,Casey,46,39633,$5723.71
37,Micheal,Moody,20,18396,$873.32
38,Eugene,Gilbert,19,64138,$8220.64
39,Caroline,Love,19,25640,$9867.15
40,Laura,Maldonado,34,98768,$9023.65
41,Ollie,Ramirez,60,99282,$4971.91
42,Adele,Mills,33,22055,$8619.34
43,Madge,Stevenson,20,73685,$1732.44
44,Lucinda,Joseph,50,32502,$9402.24
45,Gussie,Walton,36,25094,$8056.61
46,Mabelle,Mendez,52,78459,$6725.39
47,Agnes,Brooks,49,79337,$6880.50
48,May,Hansen,19,77992,$3373.68
49,Marc,Ingram,52,51473,$2960.61
50,Aaron,Bates,49,44795,$2470.80
51,Luke,Reynolds,27,96788,$3772.49
52,Ryan,Lamb,34,92787,$1151.53
53,Alexander,Shaw,27,35223,$1158.23
54,Violet,McKinney,36,95124,$1045.49
55,Lydia,Wood,57,93180,$4037.20
56,Catherine,McBride,58,41701,$8216.74
57,Devin,Henderson,50,07838,$1516.61
58,Leila,Kelley,35,82646,$2373.85
59,Shane,Rice,35,52068,$9414.44
60,Angel,Carson,33,01375,$4691.34
61,Gordon,Burke,62,92534,$1085.17
62,Olga,Wood,57,76625,$2942.05
63,Nannie,Steele,31,03341,$160.63
64,Hester,Cooper,44,40128,$4783.70
65,Robert,Goodman,30,77203,$9628.26
66,Isaac,Burgess,37,62440,$9666.30
67,Russell,Gibbs,58,70730,$2047.43
68,Henrietta,Collier,65,66484,$5027.96
69,Chase,Bowman,57,16896,$6800.91
70,Leila,Moran,25,17593,$2288.68
71,Claudia,Ellis,40,17930,$2731.04
72,Victoria,Roy,20,06217,$743.33
73,Darrell,Blake,28,38050,$373.16
74,Genevieve,Russell,58,48000,$8626.93
75,Lillie,Nguyen,50,12175,$4141.38
76,Billy,Ruiz,33,63771,$7723.90
77,Mattie,Bailey,29,56114,$2928.10
78,Randy,Benson,58,84523,$5748.71
79,Ernest,Bowers,60,06485,$533.97
80,Georgia,Newton,59,53148,$8487.70
81,Lola,Pearson,35,01467,$5763.62
82,Steven,Singleton,61,05825,$472.16
83,Verna,Munoz,64,64086,$5368.87
84,Lucile,Murphy,54,64868,$1644.92
85,Sam,Keller,33,85797,$4910.14
86,Lydia,Hardy,49,69398,$5124.99
87,Kevin,Morris,48,08091,$8105.83
88,Noah,Alvarado,61,12143,$91.74
89,Kevin,Sherman,43,91298,$6746.80
90,Virgie,Manning,24,70188,$3411.58
91,Trevor,Thompson,21,94739,$3488.34
92,Elmer,Robertson,37,30646,$3265.15
93,Lillian,Powers,64,66817,$479.47
94,Robert,Rivera,33,25147,$6302.36
95,Leonard,Medina,34,28293,$1890.21
96,Christine,Baldwin,43,48675,$8634.66
97,Harry,Flores,34,69655,$5701.00
98,Stephen,Pittman,57,55216,$4623.04
99,Lester,Hudson,43,34045,$2779.65
100,Lucas,Barnett,49,46213,$4770.30
101,Winnie,Erickson,62,45025,$3993.88
102,Marion,Castillo,42,43909,$329.01
103,Georgie,Stevens,41,29880,$4261.57
104,Gavin,Flowers,65,91151,$7116.97
105,Todd,Dawson,18,54800,$8155.07
106,Celia,Leonard,38,03447,$6103.87
107,Arthur,Tran,27,65142,$1767.24
108,Lily,Campbell,60,09726,$9829.94
109,Eddie,Harvey,59,89354,$8265.24
110,Robert,Keller,61,54906,$8439.01
111,Anthony,Harrington,20,80598,$6968.74
112,Derrick,Crawford,61,93981,$1080.79
113,Florence,Keller,38,42049,$885.76
114,Della,Harmon,26,35819,$1527.63
115,Margaret,Henry,58,75780,$8865.51
116,Ivan,Gibson,48,98072,$6950.17
117,Nannie,Rhodes,23,95520,$4770.08
118,Marvin,Chapman,41,50053,$8208.19
119,Michael,Hubbard,23,41489,$1066.62
120,Austin,Green,46,72186,$5218.25
121,Alexander,Dean,21,23508,$3672.13
122,Jonathan,Webster,34,63347,$2643.19
123,Sally,Moran,28,21472,$7647.18
124,Duane,Moreno,45,98603,$8608.25
125,Andrew,Wise,62,63998,$518.55
126,Lula,McLaughlin,41,32377,$5208.46
127,Evelyn,Jenkins,33,47156,$1851.72
128,Duane,Peters,36,76094,$5470.25
129,Andre,Medina,61,61152,$7496.91
130,Matthew,Weber,60,48025,$1988.39
131,Mable,Brown,35,74912,$9846.65
132,Lewis,Klein,59,23262,$659.06
133,Mable,Swanson,59,80856,$3358.94
134,Cameron,Leonard,64,74667,$5212.00
135,Jon,Jensen,64,69382,$9818.02
136,Kyle,Reed,18,40721,$2683.50
137,Winnie,Adkins,22,03293,$8588.30
138,Howard,Morrison,18,10146,$3825.40
139,Lily,Tran,52,70886,$6218.48
140,Dustin,Johnston,42,43226,$6303.25
141,Eric,Osborne,29,19754,$8331.02
142,Bruce,Turner,19,41969,$2357.43
143,Lester,Hunter,52,68259,$8426.46
144,Nannie,Young,52,59491,$1178.55
145,Brian,Ortiz,39,73898,$6772.77
146,Anne,Davis,56,66167,$4042.15
147,May,Reyes,38,98953,$352.45
148,Sue,Vaughn,27,51978,$1243.30
149,Mike,Clarke,57,41387,$6262.20
150,Julian,Hines,33,61117,$9809.38
151,Chase,James,25,86501,$2328.67
152,Maria,Jennings,32,67374,$5444.74
153,Peter,Elliott,36,40006,$1350.82
154,John,Dawson,21,03323,$5639.89
155,Eula,Adkins,56,12126,$1422.51
156,Owen,Simon,64,24046,$5046.98
157,Dale,Hall,45,85653,$1889.03
158,Lettie,Guerrero,34,08684,$4916.35
159,Mae,Johnston,41,75027,$2506.13
160,Martin,Aguilar,51,15737,$6652.87
161,Katharine,Tran,21,67608,$9109.96
162,Victoria,Moore,33,07960,$3602.98
163,Sue,Francis,64,63836,$9106.33
164,Roger,Reid,46,53778,$6467.79
165,Frank,Dunn,21,35489,$4060.17
